autor,orcid,derechos,licencia,case_id,block,status,expected,obtained,error
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,K-02,singularidad_geometrica,PASS,no_fundamento,LIMITE_DE_PROYECCION,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,K-03,singularidad_geometrica,PASS,no_fundamento,LIMITE_DE_PROYECCION,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,K-04,singularidad_geometrica,PASS,no_fundamento,LIMITE_DE_PROYECCION,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,K-05,singularidad_geometrica,PASS,BH-SING-001,NO_EVALUABLE_COMO_FUNDAMENTO,BH-SING-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-01,absorcion_modelos,PASS,ABSORBIDO,ABSORBIDO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-02,absorcion_modelos,PASS,ABSORBIDO,ABSORBIDO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-03,absorcion_modelos,PASS,RECHAZADO,RECHAZADO,BH-SING-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-04,absorcion_modelos,PASS,ABSORBIDO,ABSORBIDO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-05,absorcion_modelos,PASS,ABSORBIDO_PARCIALMENTE,ABSORBIDO_PARCIALMENTE,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-06,absorcion_modelos,PASS,ABSORBIDO_PARCIALMENTE,ABSORBIDO_PARCIALMENTE,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-07,absorcion_modelos,PASS,ABSORBIDO_PARCIALMENTE,ABSORBIDO_PARCIALMENTE,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-08,absorcion_modelos,PASS,ABSORBIDO_PARCIALMENTE,ABSORBIDO_PARCIALMENTE,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,ABS-09,absorcion_modelos,PASS,RECHAZADO,RECHAZADO,BH-LUZ-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-01,postfrontera_MN2,PASS,APTO,APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-02,postfrontera_MN2,PASS,NO_APTO,NO_APTO,BH-UPOST-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-03,postfrontera_MN2,PASS,NO_APTO,NO_APTO,BH-TN-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-04,postfrontera_MN2,PASS,NO_APTO,NO_APTO,BH-TN-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-05,postfrontera_MN2,PASS,NO_APTO,NO_APTO,BH-TN-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,PF-MN2-NE-U,postfrontera_MN2,PASS,M_N2-SV≠U,M_N2-SV≠U,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,EXT-01,falsacion_luminosa_externa,PASS,BH_FISICO_EQ_BH_SV,BH_FISICO_EQ_BH_SV,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,EXT-02,falsacion_luminosa_externa,PASS,NO_APTO,NO_APTO,BH-LUZ-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,EXT-03,falsacion_luminosa_externa,PASS,NO_APTO,NO_APTO,BH-TE-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,EXT-04,falsacion_luminosa_externa,PASS,NO_APTO,NO_APTO,BH-INT-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,EXT-05,falsacion_luminosa_externa,PASS,NO_APTO,NO_APTO,BH-TN-002
