autor,orcid,institucion,publicacion,issn,licencia,lugar_fecha,id,familia,regla,residual_controlado,salida_esperada,salida_obtenida,coincide,campos_faltantes,motivo
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-06,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,el Sol contrasta el régimen; no lo funda
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-07,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,cambia el canal físico y el residual de transición
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-08,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,lo estructural requiere retorno específico antes de incorporarse al subdominio reconocido
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-09,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,componente informacional no equivale a organismo vivo
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-N-01,cps_sv,CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",NO-APTO,NO-APTO,1,,falla el umbral energético de persistencia conjunta
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-01,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,falta retorno físico específico para incorporarla al subdominio reconocido
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-02,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,la señal no basta para admitir ni rechazar
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-03,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,relación estructural sin cierre físico externo del candidato
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-04,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,"faltan geometría, estabilidad o retorno suficiente"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-05,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,no basta para vida ni para rechazo total
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",U-06,u,U,R_U: retorno insuficiente con conservación de no determinación legítima,U,U,1,,compatibilidad no equivale a cierre biológico
