# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Dureza SV (Mohs),Resistencia física SV (MPa),Coef. rozamiento SV,Flexibilidad SV (0-1),Maleabilidad SV (0-1),Resistencia oxidación SV (0-100),Resistencia corrosión SV (0-100),Resistencia térmica hasta cambio (°C)
78,SV-IV-Zeta,3.6,220,0.23,0.65,0.66,49.2,48.0,990
79,SV-IV-Eta,3.92,238,0.24,0.61,0.62,53.4,51.6,1020
80,SV-IV-Theta,4.24,256,0.26,0.58,0.58,57.6,55.2,1050
81,SV-IV-Iota,4.56,274,0.27,0.54,0.54,61.8,58.8,1080
82,SV-IV-Kappa,4.88,292,0.28,0.51,0.5,66.0,62.4,1110
83,SV-IV-Lambda,5.2,310,0.29,0.47,0.46,70.2,66.0,1140
84,SV-IV-Mu,5.52,328,0.3,0.43,0.42,74.4,69.6,1170
85,SV-IV-Nu,5.22,346,0.32,0.4,0.21,78.6,73.2,1200
86,SV-IV-Xi,5.4,364,0.33,0.36,0.19,82.8,76.8,1230
87,SV-IV-Omicron,5.58,382,0.34,0.33,0.17,87.0,80.4,1260
88,SV-IV-Pi,5.76,400,0.35,0.29,0.14,91.2,84.0,1290
89,SV-IV-Rho,0.6,8,0.0,0.02,0.01,95.4,87.6,180
90,SV-IV-Sigma,0.2,2,0.0,0.02,0.01,95.0,96.0,-170
91,SV-IV-Tau,1.35,138,0.17,0.8,0.85,30.7,32.1,880
92,SV-IV-Upsilon,1.5,156,0.18,0.77,0.81,34.9,35.7,910
93,SV-IV-Phi,2.67,174,0.2,0.73,0.77,39.1,39.3,940
94,SV-IV-Chi,2.99,192,0.21,0.7,0.73,43.3,42.9,970
95,SV-IV-Psi,3.31,210,0.22,0.66,0.69,47.5,46.5,1000
96,SV-IV-Omega,3.63,228,0.23,0.62,0.65,51.7,50.1,1030
97,SV-V-Alfa,3.95,246,0.24,0.59,0.61,55.9,53.7,1060
98,SV-V-Beta,4.27,264,0.26,0.56,0.57,60.1,57.3,1090
99,SV-V-Gamma,4.59,282,0.27,0.52,0.53,64.3,60.9,1120
100,SV-V-Delta,4.91,300,0.28,0.48,0.49,68.5,64.5,1150
101,SV-V-Epsilon,5.23,318,0.29,0.45,0.45,72.7,68.1,1180
102,SV-V-Zeta,5.55,336,0.3,0.42,0.41,76.9,71.7,1210
103,SV-V-Eta,5.2,354,0.32,0.38,0.2,81.1,75.3,1240
104,SV-V-Theta,5.38,372,0.33,0.34,0.18,85.3,78.9,1270
105,SV-V-Iota,5.56,390,0.34,0.31,0.16,89.5,82.5,1300
106,SV-V-Kappa,5.74,408,0.35,0.28,0.13,93.7,86.1,1330
107,SV-V-Lambda,0.6,8,0.0,0.02,0.01,97.9,89.7,195
108,SV-V-Mu,0.2,2,0.0,0.02,0.01,95.0,96.0,-165
109,SV-V-Nu,1.37,146,0.17,0.78,0.83,33.2,34.2,920
110,SV-V-Xi,1.52,164,0.18,0.74,0.79,37.4,37.8,950
111,SV-V-Omicron,2.7,182,0.2,0.71,0.75,41.6,41.4,980
112,SV-V-Pi,3.02,200,0.21,0.68,0.71,45.8,45.0,1010
113,SV-V-Rho,3.34,218,0.22,0.64,0.67,50.0,48.6,1040
114,SV-V-Sigma,3.66,236,0.23,0.6,0.63,54.2,52.2,1070
115,SV-V-Tau,3.98,254,0.24,0.57,0.59,58.4,55.8,1100
116,SV-V-Upsilon,4.3,272,0.26,0.54,0.55,62.6,59.4,1130
117,SV-V-Phi,4.62,290,0.27,0.5,0.51,66.8,63.0,1160
118,SV-V-Chi,4.94,308,0.28,0.46,0.47,71.0,66.6,1190
