# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Conductividad eléctrica SV (MS/m),Electronegatividad SV,Energía ionización SV (kJ/mol),Radio atómico SV (pm),Afinidad electrónica SV (eV),Carácter metálico SV (%),Conductividad térmica SV (W/m·K),Permeabilidad SV (μr)
68,SV-III-Upsilon,10.29,2.23,776,240.4,1.27,39.0,64.8,1.012
69,SV-III-Phi,10.28,2.37,807,234.2,1.35,34.2,64.7,1.018
70,SV-III-Chi,10.26,2.5,838,228.0,1.44,29.4,64.6,1.024
71,SV-III-Psi,0.14,2.63,939,221.8,2.07,10.0,0.2,1.0
72,SV-III-Omega,0.02,0.0,1120,215.6,0.0,2.0,0.0,1.0
73,SV-IV-Alfa,46.57,0.45,367,333.0,0.15,99.2,293.4,1.006
74,SV-IV-Beta,46.49,0.59,398,326.8,0.23,94.4,292.9,1.012
75,SV-IV-Gamma,35.94,0.72,429,320.6,0.32,89.6,226.4,1.018
76,SV-IV-Delta,35.88,0.86,460,314.4,0.4,84.8,226.1,1.024
77,SV-IV-Epsilon,35.83,0.99,491,308.2,0.49,80.0,225.7,1.03
78,SV-IV-Zeta,35.77,1.12,522,302.0,0.57,75.2,225.4,1.0
79,SV-IV-Eta,35.71,1.26,553,295.8,0.66,70.4,225.0,1.006
80,SV-IV-Theta,35.66,1.4,584,289.6,0.74,65.6,224.6,1.012
81,SV-IV-Iota,35.6,1.53,615,283.4,0.82,60.8,224.3,1.018
82,SV-IV-Kappa,35.55,1.67,646,277.2,0.91,56.0,223.9,1.024
83,SV-IV-Lambda,35.49,1.8,677,271.0,1.0,51.2,223.6,1.03
84,SV-IV-Mu,35.43,1.94,708,264.8,1.08,46.4,223.2,1.0
85,SV-IV-Nu,9.58,2.07,739,258.6,1.17,41.6,60.4,1.006
86,SV-IV-Xi,9.57,2.21,770,252.4,1.25,36.8,60.3,1.012
87,SV-IV-Omicron,9.55,2.34,801,246.2,1.33,32.0,60.2,1.018
88,SV-IV-Pi,9.54,2.48,832,240.0,1.42,27.2,60.1,1.024
89,SV-IV-Rho,0.13,2.61,933,233.8,2.05,10.0,0.2,1.0
90,SV-IV-Sigma,0.01,0.0,1114,227.6,0.0,2.0,0.0,1.0
91,SV-IV-Tau,43.27,0.43,361,345.0,0.13,97.0,272.6,1.006
92,SV-IV-Upsilon,43.2,0.56,392,338.8,0.22,92.2,272.2,1.012
93,SV-IV-Phi,33.39,0.7,423,332.6,0.3,87.4,210.4,1.018
94,SV-IV-Chi,33.34,0.83,454,326.4,0.39,82.6,210.0,1.024
95,SV-IV-Psi,33.28,0.97,485,320.2,0.47,77.8,209.7,1.03
96,SV-IV-Omega,33.23,1.1,516,314.0,0.56,73.0,209.4,1.0
97,SV-V-Alfa,33.18,1.24,547,307.8,0.64,68.2,209.0,1.006
98,SV-V-Beta,33.12,1.37,578,301.6,0.73,63.4,208.7,1.012
99,SV-V-Gamma,33.07,1.51,609,295.4,0.81,58.6,208.3,1.018
100,SV-V-Delta,33.02,1.64,640,289.2,0.9,53.8,208.0,1.024
101,SV-V-Epsilon,32.96,1.78,671,283.0,0.98,49.0,207.7,1.03
102,SV-V-Zeta,32.91,1.91,702,276.8,1.07,44.2,207.3,1.0
103,SV-V-Eta,8.9,2.04,733,270.6,1.15,39.4,56.1,1.006
104,SV-V-Theta,8.88,2.18,764,264.4,1.24,34.6,56.0,1.012
105,SV-V-Iota,8.87,2.32,795,258.2,1.32,29.8,55.9,1.018
106,SV-V-Kappa,8.85,2.45,826,252.0,1.41,25.0,55.8,1.024
107,SV-V-Lambda,0.12,2.58,927,245.8,2.04,10.0,0.1,1.0
108,SV-V-Mu,0.01,0.0,1108,239.6,0.0,2.0,0.0,1.0
109,SV-V-Nu,40.17,0.4,355,357.0,0.12,94.8,253.1,1.006
110,SV-V-Xi,40.11,0.54,386,350.8,0.2,90.0,252.7,1.012
111,SV-V-Omicron,31.0,0.67,417,344.6,0.29,85.2,195.3,1.018
112,SV-V-Pi,30.95,0.81,448,338.4,0.37,80.4,195.0,1.024
113,SV-V-Rho,30.9,0.94,479,332.2,0.46,75.6,194.6,1.03
114,SV-V-Sigma,30.85,1.08,510,326.0,0.54,70.8,194.3,1.0
115,SV-V-Tau,30.79,1.21,541,319.8,0.63,66.0,194.0,1.006
116,SV-V-Upsilon,30.74,1.35,572,313.6,0.71,61.2,193.7,1.012
117,SV-V-Phi,30.69,1.48,603,307.4,0.8,56.4,193.4,1.018
118,SV-V-Chi,30.64,1.62,634,301.2,0.88,51.6,193.0,1.024
