id_banco,id_caso,dominio,observable,senal,unidad_externa,primitivo_sv,transductor,canal,diccionario,condicion,estado_condicion,residual,retorno,salida_esperada,negativo_principal,estado_esperado,error_codigo,anchor,critico
B09,NEG-19,adversarial,ataque_negativo,cepa mutada=mayor agresividad,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,cepa mutada=mayor agresividad,FAIL,E-19,sec-xvii-22,1
B09,NEG-20,adversarial,ataque_negativo,gen de resistencia=infección,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,gen de resistencia=infección,FAIL,E-20,sec-xvii-22,1
B09,NEG-21,adversarial,ataque_negativo,canal confundido con diccionario,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,canal confundido con diccionario,FAIL,E-21,sec-xvii-22,1
B09,NEG-22,adversarial,ataque_negativo,diccionario sin canal tratado como interacción,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,diccionario sin canal tratado como interacción,FAIL,E-22,sec-xvii-22,1
B09,NEG-23,adversarial,ataque_negativo,retorno ausente presentado como cierre,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,retorno ausente presentado como cierre,FAIL,E-23,sec-xvii-22,1
B09,NEG-24,adversarial,ataque_negativo,célula confundida con organismo,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,célula confundida con organismo,FAIL,E-24,sec-xvii-22,1
B09,NEG-25,adversarial,ataque_negativo,tejido reducido a suma de células,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,tejido reducido a suma de células,FAIL,E-25,sec-xvii-22,1
B09,NEG-26,adversarial,ataque_negativo,órgano confundido con lesión local,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,órgano confundido con lesión local,FAIL,E-26,sec-xvii-22,1
B09,NEG-27,adversarial,ataque_negativo,especie confundida con parecido morfológico,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,especie confundida con parecido morfológico,FAIL,E-27,sec-xvii-22,1
B09,NEG-28,adversarial,ataque_negativo,reactivación parcial=identidad absoluta,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,reactivación parcial=identidad absoluta,FAIL,E-28,sec-xvii-22,1
B09,NEG-29,adversarial,ataque_negativo,lesión=muerte física,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,lesión=muerte física,FAIL,E-29,sec-xvii-22,1
B09,NEG-30,adversarial,ataque_negativo,secuela=enfermedad activa,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,secuela=enfermedad activa,FAIL,E-30,sec-xvii-22,1
B09,NEG-31,adversarial,ataque_negativo,reparación=curación absoluta,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,reparación=curación absoluta,FAIL,E-31,sec-xvii-22,1
B09,NEG-32,adversarial,ataque_negativo,inflamación=patología crónica,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,inflamación=patología crónica,FAIL,E-32,sec-xvii-22,1
B09,NEG-33,adversarial,ataque_negativo,inmunoterapia=beneficio puro,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,inmunoterapia=beneficio puro,FAIL,E-33,sec-xvii-22,1
B09,NEG-34,adversarial,ataque_negativo,infiltrado inmune=control tumoral,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,infiltrado inmune=control tumoral,FAIL,E-34,sec-xvii-22,1
B09,NEG-35,adversarial,ataque_negativo,anticuerpo=protección absoluta,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,anticuerpo=protección absoluta,FAIL,E-35,sec-xvii-22,1
B09,NEG-36,adversarial,ataque_negativo,portador genético=enfermo,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,portador genético=enfermo,FAIL,E-36,sec-xvii-22,1
B09,NEG-37,adversarial,ataque_negativo,muestra única=mosaicismo total,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,muestra única=mosaicismo total,FAIL,E-37,sec-xvii-22,1
B09,NEG-38,adversarial,ataque_negativo,artefacto de secuenciación=hecho,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,artefacto de secuenciación=hecho,FAIL,E-38,sec-xvii-22,1
B09,NEG-39,adversarial,ataque_negativo,co-presencia=canal,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,co-presencia=canal,FAIL,E-39,sec-xvii-22,1
B09,NEG-40,adversarial,ataque_negativo,contacto=diálogo estructural,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,contacto=diálogo estructural,FAIL,E-40,sec-xvii-22,1
B09,NEG-41,adversarial,ataque_negativo,señal sin retorno=diagnóstico,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,señal sin retorno=diagnóstico,FAIL,E-41,sec-xvii-22,1
B09,NEG-42,adversarial,ataque_negativo,banco sin negativo=apto fuerte,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,banco sin negativo=apto fuerte,FAIL,E-42,sec-xvii-22,1
B09,NEG-43,adversarial,ataque_negativo,salida esperada ausente,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,salida esperada ausente,FAIL,E-43,sec-xvii-22,1
B09,NEG-44,adversarial,ataque_negativo,runner sin error explícito,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,runner sin error explícito,FAIL,E-44,sec-xvii-22,1
B09,NEG-45,adversarial,ataque_negativo,caso real extrapolado desde banco cerrado,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,caso real extrapolado desde banco cerrado,FAIL,E-45,sec-xvii-22,1
B09,NEG-46,adversarial,ataque_negativo,dato sensible sin custodia,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,dato sensible sin custodia,FAIL,E-46,sec-xvii-22,1
B09,NEG-47,adversarial,ataque_negativo,muerte física usada para borrar U causal,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,muerte física usada para borrar U causal,FAIL,E-47,sec-xvii-22,1
B09,NEG-48,adversarial,ataque_negativo,fórmula aplicada fuera de dominio,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,fórmula aplicada fuera de dominio,FAIL,E-48,sec-xvii-22,1
