Elemento,rol,k,Z_SV,A_SV,Periodo,Grupo,Z_fis,Composicion,Sigma_Z,Sigma_A_ref,Regimen_A_ref,N_res,N,N_Z,Theta_max_C,Margen_C,R_ZSV,R_ASV,R_Zfis,R_A,R_Theta,resolución
SV-394,termico_KTheta,394,512,1673,29,16,512,Lv+3Og+Mo,512,1280,A_ref_parametrico_KTheta_round_2_5Z,393,1161,2.2676,4640,140,0,0,0,0,0,ADMISIBLE
SV-397,termico_KTheta,397,515,1683,30,1,515,Fr+3Og+W,515,1288,A_ref_parametrico_KTheta_round_2_5Z,395,1168,2.268,4670,170,0,0,0,0,0,ADMISIBLE
SV-398,termico_KTheta,398,516,1687,30,2,516,Ra+3Og+W,516,1290,A_ref_parametrico_KTheta_round_2_5Z,397,1171,2.2694,4680,180,0,0,0,0,0,ADMISIBLE
SV-399,termico_KTheta,399,517,1690,30,3,517,Ac+3Og+W,517,1292,A_ref_parametrico_KTheta_round_2_5Z,398,1173,2.2689,4690,190,0,0,0,0,0,ADMISIBLE
SV-400,termico_KTheta,400,518,1694,30,4,518,Rf+3Og+Nd,518,1295,A_ref_parametrico_KTheta_round_2_5Z,399,1176,2.2703,4700,200,0,0,0,0,0,ADMISIBLE
SV-401,termico_KTheta,401,519,1697,30,5,519,Db+3Og+Nd,519,1297,A_ref_parametrico_KTheta_round_2_5Z,400,1178,2.2697,4710,210,0,0,0,0,0,ADMISIBLE
SV-402,termico_KTheta,402,520,1701,30,6,520,Sg+3Og+Nd,520,1300,A_ref_parametrico_KTheta_round_2_5Z,401,1181,2.2712,4720,220,0,0,0,0,0,ADMISIBLE
SV-403,termico_KTheta,403,521,1704,30,7,521,Bh+3Og+Nd,521,1303,A_ref_parametrico_KTheta_round_2_5Z,401,1183,2.2706,4730,230,0,0,0,0,0,ADMISIBLE
SV-404,termico_KTheta,404,522,1708,30,8,522,Hs+3Og+Nd,522,1305,A_ref_parametrico_KTheta_round_2_5Z,403,1186,2.272,4740,240,0,0,0,0,0,ADMISIBLE
SV-405,termico_KTheta,405,523,1711,30,9,523,Mt+3Og+Nd,523,1307,A_ref_parametrico_KTheta_round_2_5Z,404,1188,2.2715,4750,250,0,0,0,0,0,ADMISIBLE
SV-406,termico_KTheta,406,524,1715,30,10,524,Ds+3Og+Nd,524,1310,A_ref_parametrico_KTheta_round_2_5Z,405,1191,2.2729,4760,260,0,0,0,0,0,ADMISIBLE
SV-407,termico_KTheta,407,525,1718,30,11,525,Rg+3Og+Nd,525,1313,A_ref_parametrico_KTheta_round_2_5Z,405,1193,2.2724,4770,270,0,0,0,0,0,ADMISIBLE
SV-408,termico_KTheta,408,526,1722,30,12,526,Cn+3Og+Nd,526,1315,A_ref_parametrico_KTheta_round_2_5Z,407,1196,2.2738,4780,280,0,0,0,0,0,ADMISIBLE
SV-409,termico_KTheta,409,527,1725,30,13,527,Nh+3Og+Nd,527,1317,A_ref_parametrico_KTheta_round_2_5Z,408,1198,2.2732,4790,290,0,0,0,0,0,ADMISIBLE
SV-410,termico_KTheta,410,528,1729,30,14,528,Fl+3Og+Nd,528,1320,A_ref_parametrico_KTheta_round_2_5Z,409,1201,2.2746,4800,300,0,0,0,0,0,ADMISIBLE
SV-411,termico_KTheta,411,529,1732,30,15,529,Mc+3Og+Nd,529,1323,A_ref_parametrico_KTheta_round_2_5Z,409,1203,2.2741,4810,310,0,0,0,0,0,ADMISIBLE
SV-412,termico_KTheta,412,530,1736,30,16,530,Lv+3Og+Nd,530,1325,A_ref_parametrico_KTheta_round_2_5Z,411,1206,2.2755,4820,320,0,0,0,0,0,ADMISIBLE
SV-415,termico_KTheta,415,533,1746,31,1,533,Fr+3Og+U (uranio),533,1333,A_ref_parametrico_KTheta_round_2_5Z,413,1213,2.2758,4850,350,0,0,0,0,0,ADMISIBLE
SV-416,termico_KTheta,416,534,1750,31,2,534,Ra+3Og+U (uranio),534,1335,A_ref_parametrico_KTheta_round_2_5Z,415,1216,2.2772,4860,360,0,0,0,0,0,ADMISIBLE
SV-417,termico_KTheta,417,535,1753,31,3,535,Ac+3Og+U (uranio),535,1337,A_ref_parametrico_KTheta_round_2_5Z,416,1218,2.2766,4870,370,0,0,0,0,0,ADMISIBLE
SV-418,termico_KTheta,418,536,1757,31,4,536,Rf+3Og+Pt,536,1340,A_ref_parametrico_KTheta_round_2_5Z,417,1221,2.278,4880,380,0,0,0,0,0,ADMISIBLE
SV-419,termico_KTheta,419,537,1760,31,5,537,Db+3Og+Pt,537,1342,A_ref_parametrico_KTheta_round_2_5Z,418,1223,2.2775,4890,390,0,0,0,0,0,ADMISIBLE
SV-420,termico_KTheta,420,538,1764,31,6,538,Sg+3Og+Pt,538,1345,A_ref_parametrico_KTheta_round_2_5Z,419,1226,2.2788,4900,400,0,0,0,0,0,ADMISIBLE
SV-421,termico_KTheta,421,539,1767,31,7,539,Bh+3Og+Pt,539,1348,A_ref_parametrico_KTheta_round_2_5Z,419,1228,2.2783,4910,410,0,0,0,0,0,ADMISIBLE
SV-422,termico_KTheta,422,540,1771,31,8,540,Hs+3Og+Pt,540,1350,A_ref_parametrico_KTheta_round_2_5Z,421,1231,2.2796,4920,420,0,0,0,0,0,ADMISIBLE
SV-423,termico_KTheta,423,541,1774,31,9,541,Mt+3Og+Pt,541,1352,A_ref_parametrico_KTheta_round_2_5Z,422,1233,2.2791,4930,430,0,0,0,0,0,ADMISIBLE
SV-424,termico_KTheta,424,542,1778,31,10,542,Ds+3Og+Pt,542,1355,A_ref_parametrico_KTheta_round_2_5Z,423,1236,2.2804,4940,440,0,0,0,0,0,ADMISIBLE
SV-425,termico_KTheta,425,543,1781,31,11,543,Rg+3Og+Pt,543,1358,A_ref_parametrico_KTheta_round_2_5Z,423,1238,2.2799,4950,450,0,0,0,0,0,ADMISIBLE
SV-426,termico_KTheta,426,544,1785,31,12,544,Cn+3Og+Pt,544,1360,A_ref_parametrico_KTheta_round_2_5Z,425,1241,2.2812,4960,460,0,0,0,0,0,ADMISIBLE
SV-427,termico_KTheta,427,545,1788,31,13,545,Nh+3Og+Pt,545,1362,A_ref_parametrico_KTheta_round_2_5Z,426,1243,2.2807,4970,470,0,0,0,0,0,ADMISIBLE
SV-428,termico_KTheta,428,546,1792,31,14,546,Fl+3Og+Pt,546,1365,A_ref_parametrico_KTheta_round_2_5Z,427,1246,2.2821,4980,480,0,0,0,0,0,ADMISIBLE
SV-429,termico_KTheta,429,547,1795,31,15,547,Mc+3Og+Pt,547,1368,A_ref_parametrico_KTheta_round_2_5Z,427,1248,2.2815,4990,490,0,0,0,0,0,ADMISIBLE
SV-430,termico_KTheta,430,548,1799,31,16,548,Lv+3Og+Pt,548,1370,A_ref_parametrico_KTheta_round_2_5Z,429,1251,2.2828,5000,500,0,0,0,0,0,ADMISIBLE
SV-433,termico_KTheta,433,551,1809,32,1,551,Fr+3Og+Ds,551,1378,A_ref_parametrico_KTheta_round_2_5Z,431,1258,2.2831,5030,530,0,0,0,0,0,ADMISIBLE
SV-434,termico_KTheta,434,552,1813,32,2,552,Ra+3Og+Ds,552,1380,A_ref_parametrico_KTheta_round_2_5Z,433,1261,2.2844,5040,540,0,0,0,0,0,ADMISIBLE
SV-435,termico_KTheta,435,553,1816,32,3,553,Ac+3Og+Ds,553,1382,A_ref_parametrico_KTheta_round_2_5Z,434,1263,2.2839,5050,550,0,0,0,0,0,ADMISIBLE
SV-436,termico_KTheta,436,554,1820,32,4,554,Rf+3Og+Cm,554,1385,A_ref_parametrico_KTheta_round_2_5Z,435,1266,2.2852,5060,560,0,0,0,0,0,ADMISIBLE
SV-437,termico_KTheta,437,555,1823,32,5,555,Db+3Og+Cm,555,1387,A_ref_parametrico_KTheta_round_2_5Z,436,1268,2.2847,5070,570,0,0,0,0,0,ADMISIBLE
SV-438,termico_KTheta,438,556,1827,32,6,556,Sg+3Og+Cm,556,1390,A_ref_parametrico_KTheta_round_2_5Z,437,1271,2.286,5080,580,0,0,0,0,0,ADMISIBLE
SV-439,termico_KTheta,439,557,1830,32,7,557,Bh+3Og+Cm,557,1393,A_ref_parametrico_KTheta_round_2_5Z,437,1273,2.2855,5090,590,0,0,0,0,0,ADMISIBLE
SV-440,termico_KTheta,440,558,1834,32,8,558,Hs+3Og+Cm,558,1395,A_ref_parametrico_KTheta_round_2_5Z,439,1276,2.2867,5100,600,0,0,0,0,0,ADMISIBLE
SV-441,termico_KTheta,441,559,1837,32,9,559,Mt+3Og+Cm,559,1397,A_ref_parametrico_KTheta_round_2_5Z,440,1278,2.2862,5110,610,0,0,0,0,0,ADMISIBLE
SV-442,termico_KTheta,442,560,1841,32,10,560,Ds+3Og+Cm,560,1400,A_ref_parametrico_KTheta_round_2_5Z,441,1281,2.2875,5120,620,0,0,0,0,0,ADMISIBLE
SV-443,termico_KTheta,443,561,1844,32,11,561,Rg+3Og+Cm,561,1403,A_ref_parametrico_KTheta_round_2_5Z,441,1283,2.287,5130,630,0,0,0,0,0,ADMISIBLE
