k,nombre,cond_elec,EN_SV,IP_SV,r_SV,EA_SV,M_SV,cond_term,mu_r
80,SV-Mercurio,35.66,1.4,584.0,289.6,0.74,65.6,224.6,1.012
81,SV-Talio,35.6,1.53,615.0,283.4,0.82,60.8,224.3,1.018
82,SV-Plomo,35.55,1.67,646.0,277.2,0.91,56.0,223.9,1.024
83,SV-Bismuto,35.49,1.8,677.0,271.0,1.0,51.2,223.6,1.03
84,SV-Polonio,35.43,1.94,708.0,264.8,1.08,46.4,223.2,1.0
85,SV-Ástato,9.58,2.07,739.0,258.6,1.17,41.6,60.4,1.006
86,SV-Radón,9.57,2.21,770.0,252.4,1.25,36.8,60.3,1.012
87,SV-Francio,9.55,2.34,801.0,246.2,1.33,32.0,60.2,1.018
88,SV-Radio,9.54,2.48,832.0,240.0,1.42,27.2,60.1,1.024
89,SV-Actinio,0.13,2.61,933.0,233.8,2.05,10.0,0.2,1.0
90,SV-Torio,0.01,0.0,1114.0,227.6,0.0,2.0,0.0,1.0
91,SV-Protactinio,43.27,0.43,361.0,345.0,0.13,97.0,272.6,1.006
92,SV-Uranio,43.2,0.56,392.0,338.8,0.22,92.2,272.2,1.012
93,SV-Neptunio,33.39,0.7,423.0,332.6,0.3,87.4,210.4,1.018
94,SV-Plutonio,33.34,0.83,454.0,326.4,0.39,82.6,210.0,1.024
95,SV-Americio,33.28,0.97,485.0,320.2,0.47,77.8,209.7,1.03
96,SV-Curio,33.23,1.1,516.0,314.0,0.56,73.0,209.4,1.0
97,SV-Berkelio,33.18,1.24,547.0,307.8,0.64,68.2,209.0,1.006
98,SV-Californio,33.12,1.37,578.0,301.6,0.73,63.4,208.7,1.012
99,SV-Einsteinio,33.07,1.51,609.0,295.4,0.81,58.6,208.3,1.018
100,SV-Fermio,33.02,1.64,640.0,289.2,0.9,53.8,208.0,1.024
101,SV-Mendelevio,32.96,1.78,671.0,283.0,0.98,49.0,207.7,1.03
102,SV-Nobelio,32.91,1.91,702.0,276.8,1.07,44.2,207.3,1.0
103,SV-Laurencio,8.9,2.04,733.0,270.6,1.15,39.4,56.1,1.006
104,SV-Rutherfordio,8.88,2.18,764.0,264.4,1.24,34.6,56.0,1.012
105,SV-Dubnio,8.87,2.32,795.0,258.2,1.32,29.8,55.9,1.018
106,SV-Seaborgio,8.85,2.45,826.0,252.0,1.41,25.0,55.8,1.024
107,SV-Bohrio,0.12,2.58,927.0,245.8,2.04,10.0,0.1,1.0
108,SV-Hásio,0.01,0.0,1108.0,239.6,0.0,2.0,0.0,1.0
109,SV-Meitnerio,40.17,0.4,355.0,357.0,0.12,94.8,253.1,1.006
110,SV-Darmstadtio,40.11,0.54,386.0,350.8,0.2,90.0,252.7,1.012
111,SV-Roentgenio,31.0,0.67,417.0,344.6,0.29,85.2,195.3,1.018
112,SV-Copernicio,30.95,0.81,448.0,338.4,0.37,80.4,195.0,1.024
113,SV-Nihonio,30.9,0.94,479.0,332.2,0.46,75.6,194.6,1.03
114,SV-Flerovio,30.85,1.08,510.0,326.0,0.54,70.8,194.3,1.0
115,SV-Moscovio,30.79,1.21,541.0,319.8,0.63,66.0,194.0,1.006
116,SV-Livermorio,30.74,1.35,572.0,313.6,0.71,61.2,193.7,1.012
117,SV-Téneso,30.69,1.48,603.0,307.4,0.8,56.4,193.4,1.018
118,SV-Oganesón,30.64,1.62,634.0,301.2,0.88,51.6,193.0,1.024
119,SV-119,67.09,1.5,1350,183.1,1.1,32.9,208.1,0.938
120,SV-120,66.89,1.6,400,182.8,0.2,29.5,207.1,0.946
121,SV-121,66.69,1.8,450,182.4,0.3,26.4,206.1,0.955
122,SV-122,66.5,1.9,500,182.1,0.4,23.6,205.2,0.964
123,SV-123,66.3,2.0,550,181.7,0.5,21.1,204.2,0.974
124,SV-124,66.1,2.1,600,181.3,0.6,18.9,203.3,0.983
125,SV-125,65.91,2.2,650,181.0,0.7,16.9,202.4,0.993
126,SV-126,65.71,0.0,700,180.6,0.0,15.1,201.5,1.003
127,SV-127,65.52,0.5,950,180.3,0.9,100.0,200.6,1.013
128,SV-128,65.33,0.6,1000,179.9,1.0,89.5,199.8,1.023
129,SV-129,65.13,0.7,850,179.5,1.1,80.1,199.0,1.033
130,SV-130,64.94,0.8,900,179.2,0.2,71.7,198.2,1.042
131,SV-131,64.75,0.9,950,178.8,0.3,64.1,197.4,1.051
132,SV-132,64.56,1.0,1000,178.4,0.4,57.4,196.6,1.059
133,SV-133,64.37,1.1,1050,178.0,0.5,51.3,195.9,1.067
134,SV-134,64.18,1.2,1100,177.7,0.6,45.9,195.2,1.074
135,SV-135,63.99,1.3,1150,177.3,0.7,41.1,194.5,1.08
136,SV-136,63.8,1.4,1200,176.9,0.8,36.8,193.9,1.086
137,SV-137,63.61,1.5,1250,176.5,0.9,32.9,193.2,1.091
138,SV-138,63.42,1.6,1300,176.1,1.0,29.5,192.6,1.094
139,SV-139,63.23,1.8,1350,175.7,1.1,26.4,192.0,1.097
140,SV-140,63.04,1.9,400,175.3,0.2,23.6,191.4,1.099
141,SV-141,62.85,2.0,450,175.0,0.3,21.1,190.9,1.1
142,SV-142,62.66,2.1,500,174.6,0.4,18.9,190.4,1.1
143,SV-143,62.47,2.2,550,174.2,0.5,16.9,189.9,1.099
144,SV-144,62.28,0.0,600,173.8,0.0,15.1,189.4,1.097
145,SV-145,62.08,0.5,850,173.4,0.7,100.0,188.9,1.093
146,SV-146,61.89,0.6,900,173.0,0.8,89.5,188.5,1.089
147,SV-147,61.7,0.7,750,172.6,0.9,80.1,188.1,1.085
148,SV-148,61.51,0.8,800,172.2,1.0,71.7,187.7,1.079
149,SV-149,61.32,0.9,850,171.8,1.1,64.1,187.3,1.072
150,SV-150,61.12,1.0,900,171.4,0.2,57.4,187.0,1.065
151,SV-151,60.93,1.1,950,171.0,0.3,51.3,186.7,1.057
152,SV-152,60.73,1.2,1000,170.6,0.4,45.9,186.4,1.049
153,SV-153,60.54,1.3,1050,170.2,0.5,41.1,186.1,1.04
154,SV-154,60.34,1.4,1100,169.8,0.6,36.8,185.9,1.03
155,SV-155,60.15,1.5,1150,169.4,0.7,32.9,185.7,1.021
156,SV-156,59.95,1.6,1200,169.0,0.8,29.5,185.4,1.011
157,SV-157,59.75,1.8,1250,168.6,0.9,26.4,185.3,1.001
158,SV-158,59.56,1.9,1300,168.2,1.0,23.6,185.1,0.991
159,SV-159,59.36,2.0,1350,167.8,1.1,21.1,185.0,0.981
160,SV-160,59.16,2.1,400,167.4,0.2,18.9,184.8,0.971
161,SV-161,58.96,2.2,450,167.0,0.3,16.9,184.7,0.962
162,SV-162,58.76,0.0,500,166.6,0.0,15.1,184.6,0.953
163,SV-163,58.56,0.5,750,166.2,0.5,100.0,184.6,0.944
164,SV-164,58.36,0.6,800,165.8,0.6,89.5,184.5,0.936
165,SV-165,58.16,0.7,650,165.4,0.7,80.1,184.5,0.929
166,SV-166,57.95,0.8,700,165.0,0.8,71.7,184.5,0.922
167,SV-167,57.75,0.9,750,164.6,0.9,64.1,184.5,0.916
168,SV-168,57.55,1.0,800,164.2,1.0,57.4,184.5,0.911
169,SV-169,57.34,1.1,850,163.8,1.1,51.3,184.5,0.907
170,SV-170,57.14,1.2,900,163.4,0.2,45.9,184.6,0.904
171,SV-171,56.94,1.3,950,163.1,0.3,41.1,184.6,0.902
172,SV-172,56.73,1.4,1000,162.7,0.4,36.8,184.7,0.9
173,SV-173,56.53,1.5,1050,162.3,0.5,32.9,184.8,0.9
174,SV-174,56.32,1.6,1100,161.9,0.6,29.5,184.9,0.901
175,SV-175,56.12,1.8,1150,161.5,0.7,26.4,185.0,0.902
176,SV-176,55.91,1.9,1200,161.1,0.8,23.6,185.1,0.905
177,SV-177,55.7,2.0,1250,160.7,0.9,21.1,185.3,0.909
178,SV-178,55.5,2.1,1300,160.3,1.0,18.9,185.4,0.913
179,SV-179,55.29,2.2,1350,160.0,1.1,16.9,185.5,0.919
180,SV-180,55.09,0.0,400,159.6,0.0,15.1,185.7,0.925
181,SV-181,54.88,0.5,650,159.2,0.3,100.0,185.9,0.932
182,SV-182,54.68,0.6,700,158.8,0.4,89.5,186.0,0.94
183,SV-183,54.47,0.7,550,158.4,0.5,80.1,186.2,0.948
184,SV-184,54.27,0.8,600,158.1,0.6,71.7,186.4,0.957
185,SV-185,54.06,0.9,650,157.7,0.7,64.1,186.6,0.966
186,SV-186,53.86,1.0,700,157.3,0.8,57.4,186.8,0.975
187,SV-187,53.65,1.1,750,157.0,0.9,51.3,187.0,0.985
188,SV-188,53.45,1.2,800,156.6,1.0,45.9,187.2,0.995
189,SV-189,53.25,1.3,850,156.2,1.1,41.1,187.4,1.005
190,SV-190,53.04,1.4,900,155.9,0.2,36.8,187.6,1.015
191,SV-191,52.84,1.5,950,155.5,0.3,32.9,187.8,1.025
192,SV-192,52.64,1.6,1000,155.2,0.4,29.5,188.0,1.034
193,SV-193,52.44,1.8,1050,154.8,0.5,26.4,188.2,1.044
194,SV-194,52.24,1.9,1100,154.5,0.6,23.6,188.4,1.052
195,SV-195,52.04,2.0,1150,154.1,0.7,21.1,188.6,1.061
196,SV-196,51.85,2.1,1200,153.8,0.8,18.9,188.7,1.068
197,SV-197,51.65,2.2,1250,153.4,0.9,16.9,188.9,1.075
198,SV-198,51.46,0.0,1300,153.1,0.0,15.1,189.1,1.081
199,SV-199,51.26,0.5,1550,152.8,1.1,100.0,189.3,1.087
200,SV-200,51.07,0.6,600,152.4,0.2,89.5,189.4,1.091
201,SV-201,50.88,0.7,450,152.1,0.3,80.1,189.6,1.095
202,SV-202,50.69,0.8,500,151.8,0.4,71.7,189.8,1.098
203,SV-203,50.5,0.9,550,151.5,0.5,64.1,189.9,1.099
204,SV-204,50.31,1.0,600,151.1,0.6,57.4,190.0,1.1
205,SV-205,50.13,1.1,650,150.8,0.7,51.3,190.2,1.1
206,SV-206,49.94,1.2,700,150.5,0.8,45.9,190.3,1.098
207,SV-207,49.76,1.3,750,150.2,0.9,41.1,190.4,1.096
208,SV-208,49.58,1.4,800,149.9,1.0,36.8,190.5,1.093
209,SV-209,49.4,1.5,850,149.6,1.1,32.9,190.5,1.089
210,SV-210,49.22,1.6,900,149.3,0.2,29.5,190.6,1.084
211,SV-211,49.04,1.8,950,149.0,0.3,26.4,190.7,1.078
212,SV-212,48.87,1.9,1000,148.7,0.4,23.6,190.7,1.071
213,SV-213,48.69,2.0,1050,148.4,0.5,21.1,190.7,1.064
214,SV-214,48.52,2.1,1100,148.1,0.6,18.9,190.7,1.056
215,SV-215,48.35,2.2,1150,147.8,0.7,16.9,190.7,1.047
216,SV-216,48.18,0.0,1200,147.6,0.0,15.1,190.7,1.038
217,SV-217,48.02,0.5,1450,147.3,0.9,100.0,190.7,1.029
218,SV-218,47.85,0.6,1500,147.0,1.0,89.5,190.6,1.019
219,SV-219,47.69,0.7,1350,146.7,1.1,80.1,190.5,1.009
220,SV-220,47.53,0.8,400,146.5,0.2,71.7,190.4,0.999
221,SV-221,47.37,0.9,450,146.2,0.3,64.1,190.3,0.989
222,SV-222,47.21,1.0,500,146.0,0.4,57.4,190.2,0.979
223,SV-223,47.06,1.1,550,145.7,0.5,51.3,190.0,0.97
224,SV-224,46.9,1.2,600,145.5,0.6,45.9,189.9,0.96
225,SV-225,46.75,1.3,650,145.2,0.7,41.1,189.7,0.951
226,SV-226,46.6,1.4,700,145.0,0.8,36.8,189.5,0.943
227,SV-227,46.45,1.5,750,144.7,0.9,32.9,189.3,0.935
228,SV-228,46.31,1.6,800,144.5,1.0,29.5,189.0,0.928
229,SV-229,46.16,1.8,850,144.3,1.1,26.4,188.7,0.921
230,SV-230,46.02,1.9,900,144.1,0.2,23.6,188.5,0.915
231,SV-231,45.88,2.0,950,143.8,0.3,21.1,188.2,0.91
232,SV-232,45.74,2.1,1000,143.6,0.4,18.9,187.8,0.906
233,SV-233,45.6,2.2,1050,143.4,0.5,16.9,187.5,0.903
234,SV-234,45.46,0.0,1100,143.2,0.0,15.1,187.1,0.901
235,SV-235,45.32,0.5,1350,143.0,0.7,100.0,186.7,0.9
236,SV-236,45.19,0.6,1400,142.8,0.8,89.5,186.3,0.9
237,SV-237,45.06,0.7,1250,142.6,0.9,80.1,185.9,0.901
238,SV-238,44.92,0.8,1300,142.4,1.0,71.7,185.4,0.903
239,SV-239,44.79,0.9,1350,142.2,1.1,64.1,184.9,0.906
240,SV-240,44.66,1.0,400,142.0,0.2,57.4,184.4,0.909
241,SV-241,44.54,1.1,450,141.9,0.3,51.3,183.9,0.914
242,SV-242,44.41,1.2,500,141.7,0.4,45.9,183.4,0.92
243,SV-243,44.28,1.3,550,141.5,0.5,41.1,182.8,0.926
244,SV-244,44.16,1.4,600,141.3,0.6,36.8,182.2,0.933
245,SV-245,44.03,1.5,650,141.2,0.7,32.9,181.6,0.941
246,SV-246,43.91,1.6,700,141.0,0.8,29.5,181.0,0.949
247,SV-247,43.79,1.8,750,140.9,0.9,26.4,180.4,0.958
248,SV-248,43.67,1.9,800,140.7,1.0,23.6,179.7,0.967
249,SV-249,43.55,2.0,850,140.6,1.1,21.1,179.0,0.977
250,SV-250,43.43,2.1,900,140.4,0.2,18.9,178.3,0.987
251,SV-251,43.31,2.2,950,140.3,0.3,16.9,177.6,0.997
252,SV-252,43.19,0.0,1000,140.1,0.0,15.1,176.9,1.007
253,SV-253,43.07,0.5,1250,140.0,0.5,100.0,176.1,1.017
254,SV-254,42.95,0.6,1300,139.9,0.6,89.5,175.3,1.026
255,SV-255,42.83,0.7,1150,139.7,0.7,80.1,174.6,1.036
256,SV-256,42.72,0.8,1200,139.6,0.8,71.7,173.7,1.045
257,SV-257,42.6,0.9,1250,139.5,0.9,64.1,172.9,1.054
258,SV-258,42.48,1.0,1300,139.4,1.0,57.4,172.1,1.062
259,SV-259,42.36,1.1,1350,139.3,1.1,51.3,171.2,1.069
260,SV-260,42.25,1.2,400,139.2,0.2,45.9,170.4,1.076
261,SV-261,42.13,1.3,450,139.1,0.3,41.1,169.5,1.082
262,SV-262,42.01,1.4,500,139.0,0.4,36.8,168.6,1.088
263,SV-263,41.89,1.5,550,138.9,0.5,32.9,167.7,1.092
264,SV-264,41.77,1.6,600,138.8,0.6,29.5,166.8,1.095
265,SV-265,41.66,1.8,650,138.7,0.7,26.4,165.8,1.098
266,SV-266,41.54,1.9,700,138.6,0.8,23.6,164.9,1.099
267,SV-267,41.42,2.0,750,138.5,0.9,21.1,163.9,1.1
268,SV-268,41.3,2.1,800,138.4,1.0,18.9,163.0,1.1
269,SV-269,41.18,2.2,850,138.3,1.1,16.9,162.0,1.098
270,SV-270,41.06,0.0,900,138.3,0.0,15.1,161.0,1.096
271,SV-271,40.94,0.5,1150,138.2,0.3,100.0,160.0,1.092
272,SV-272,40.82,0.6,1200,138.1,0.4,89.5,159.0,1.088
273,SV-273,40.69,0.7,1050,138.1,0.5,80.1,158.0,1.083
274,SV-274,40.57,0.8,1100,138.0,0.6,71.7,157.0,1.077
275,SV-275,40.45,0.9,1150,137.9,0.7,64.1,156.0,1.07
276,SV-276,40.32,1.0,1200,137.9,0.8,57.4,154.9,1.062
277,SV-277,40.2,1.1,1250,137.8,0.9,51.3,153.9,1.054
278,SV-278,40.07,1.2,1300,137.8,1.0,45.9,152.9,1.046
279,SV-279,39.95,1.3,1350,137.7,1.1,41.1,151.8,1.037
280,SV-280,39.82,1.4,400,137.7,0.2,36.8,150.8,1.027
281,SV-281,39.69,1.5,450,137.6,0.3,32.9,149.8,1.017
282,SV-282,39.56,1.6,500,137.6,0.4,29.5,148.7,1.007
283,SV-283,39.43,1.8,550,137.6,0.5,26.4,147.7,0.997
284,SV-284,39.3,1.9,600,137.5,0.6,23.6,146.7,0.987
285,SV-285,39.17,2.0,650,137.5,0.7,21.1,145.6,0.978
286,SV-286,39.04,2.1,700,137.5,0.8,18.9,144.6,0.968
287,SV-287,38.91,2.2,750,137.4,0.9,16.9,143.6,0.959
288,SV-288,38.77,0.0,800,137.4,0.0,15.1,142.5,0.95
289,SV-289,38.64,0.5,1050,137.4,1.1,100.0,141.5,0.941
290,SV-290,38.5,0.6,1100,137.4,0.2,89.5,140.5,0.934
291,SV-291,38.37,0.7,950,137.3,0.3,80.1,139.5,0.927
292,SV-292,38.23,0.8,1000,137.3,0.4,71.7,138.5,0.92
293,SV-293,38.09,0.9,1050,137.3,0.5,64.1,137.5,0.914
294,SV-294,37.95,1.0,1100,137.3,0.6,57.4,136.5,0.91
295,SV-295,37.82,1.1,1150,137.3,0.7,51.3,135.5,0.906
296,SV-296,37.68,1.2,1200,137.2,0.8,45.9,134.6,0.903
297,SV-297,37.54,1.3,1250,137.2,0.9,41.1,133.6,0.901
298,SV-298,37.4,1.4,1300,137.2,1.0,36.8,132.7,0.9
299,SV-299,37.25,1.5,1350,137.2,1.1,32.9,131.7,0.9
300,SV-300,37.11,1.6,400,137.2,0.2,29.5,130.8,0.901
301,SV-301,36.97,1.8,450,137.2,0.3,26.4,129.9,0.903
302,SV-302,36.83,1.9,500,137.2,0.4,23.6,129.0,0.906
303,SV-303,36.69,2.0,550,137.2,0.5,21.1,128.1,0.91
304,SV-304,36.54,2.1,600,137.2,0.6,18.9,127.3,0.915
305,SV-305,36.4,2.2,650,137.2,0.7,16.9,126.4,0.921
306,SV-306,36.26,0.0,700,137.2,0.0,15.1,125.6,0.927
307,SV-307,36.11,0.5,950,137.2,0.9,100.0,124.8,0.934
308,SV-308,35.97,0.6,1000,137.2,1.0,89.5,124.0,0.942
309,SV-309,35.83,0.7,850,137.2,1.1,80.1,123.2,0.951
310,SV-310,35.69,0.8,900,137.2,0.2,71.7,122.4,0.96
311,SV-311,35.54,0.9,950,137.2,0.3,64.1,121.7,0.969
312,SV-312,35.4,1.0,1000,137.2,0.4,57.4,121.0,0.979
313,SV-313,35.26,1.1,1050,137.2,0.5,51.3,120.3,0.988
314,SV-314,35.11,1.2,1100,137.2,0.6,45.9,119.6,0.998
315,SV-315,34.97,1.3,1150,137.2,0.7,41.1,118.9,1.008
316,SV-316,34.83,1.4,1200,137.2,0.8,36.8,118.3,1.018
317,SV-317,34.69,1.5,1250,137.2,0.9,32.9,117.6,1.028
318,SV-318,34.55,1.6,1300,137.2,1.0,29.5,117.0,1.037
319,SV-319,34.41,1.8,1350,137.2,1.1,26.4,116.4,1.047
320,SV-320,34.27,1.9,400,137.2,0.2,23.6,115.9,1.055
321,SV-321,34.13,2.0,450,137.2,0.3,21.1,115.3,1.063
322,SV-322,34.0,2.1,500,137.2,0.4,18.9,114.8,1.071
323,SV-323,33.86,2.2,550,137.2,0.5,16.9,114.3,1.077
324,SV-324,33.72,0.0,600,137.2,0.0,15.1,113.8,1.083
325,SV-325,33.59,0.5,850,137.2,0.7,100.0,113.4,1.088
326,SV-326,33.45,0.6,900,137.1,0.8,89.5,113.0,1.093
327,SV-327,33.32,0.7,750,137.1,0.9,80.1,112.6,1.096
328,SV-328,33.19,0.8,800,137.1,1.0,71.7,112.2,1.098
329,SV-329,33.06,0.9,850,137.1,1.1,64.1,111.8,1.1
330,SV-330,32.93,1.0,900,137.1,0.2,57.4,111.5,1.1
331,SV-331,32.8,1.1,950,137.1,0.3,51.3,111.2,1.099
332,SV-332,32.68,1.2,1000,137.1,0.4,45.9,110.9,1.098
333,SV-333,32.55,1.3,1050,137.1,0.5,41.1,110.6,1.095
334,SV-334,32.43,1.4,1100,137.1,0.6,36.8,110.4,1.092
335,SV-335,32.31,1.5,1150,137.0,0.7,32.9,110.1,1.087
336,SV-336,32.18,1.6,1200,137.0,0.8,29.5,109.9,1.082
337,SV-337,32.06,1.8,1250,137.0,0.9,26.4,109.8,1.076
338,SV-338,31.95,1.9,1300,137.0,1.0,23.6,109.6,1.069
339,SV-339,31.83,2.0,1350,137.0,1.1,21.1,109.5,1.061
340,SV-340,31.72,2.1,400,136.9,0.2,18.9,109.4,1.053
341,SV-341,31.6,2.2,450,136.9,0.3,16.9,109.3,1.044
342,SV-342,31.49,0.0,500,136.9,0.0,15.1,109.2,1.035
343,SV-343,31.38,0.5,750,136.9,0.5,100.0,109.2,1.025
344,SV-344,31.27,0.6,800,136.8,0.6,89.5,109.1,1.016
345,SV-345,31.16,0.7,650,136.8,0.7,80.1,109.1,1.006
346,SV-346,31.06,0.8,700,136.7,0.8,71.7,109.1,0.996
347,SV-347,30.95,0.9,750,136.7,0.9,64.1,109.2,0.986
348,SV-348,30.85,1.0,800,136.7,1.0,57.4,109.2,0.976
349,SV-349,30.75,1.1,850,136.6,1.1,51.3,109.3,0.966
350,SV-350,30.65,1.2,900,136.6,0.2,45.9,109.4,0.957
351,SV-351,30.55,1.3,950,136.5,0.3,41.1,109.5,0.948
352,SV-352,30.46,1.4,1000,136.5,0.4,36.8,109.6,0.94
353,SV-353,30.36,1.5,1050,136.4,0.5,32.9,109.8,0.932
354,SV-354,30.27,1.6,1100,136.4,0.6,29.5,109.9,0.925
355,SV-355,30.18,1.8,1150,136.3,0.7,26.4,110.1,0.919
